0, 1548696090.7064922
1, 1548696091.7064369
2, 1548696092.7065074
3, 1548696093.7065246
4, 1548696094.7065055
5, 1548696095.7063916
6, 1548696096.706428
7, 1548696097.7064312
8, 1548696098.7064404
9, 1548696099.7063394
10, 1548696100.7064364
11, 1548696101.7064655
12, 1548696102.7064652
13, 1548696103.7064145
14, 1548696104.7064233
15, 1548696105.7063825
16, 1548696106.706374
17, 1548696107.706576
18, 1548696108.7063737
19, 1548696109.7063715
20, 1548696110.7063732
21, 1548696111.706376
22, 1548696112.706343
23, 1548696113.7063735
24, 1548696114.7063751
25, 1548696115.706364
26, 1548696116.7063715
27, 1548696117.7063694
28, 1548696118.7063622
29, 1548696119.7070804
30, 1548696120.7063708
31, 1548696121.7063692
32, 1548696122.706412
33, 1548696123.7063668
34, 1548696124.7063727
35, 1548696125.7063708
36, 1548696126.7063687
37, 1548696127.706351
38, 1548696128.7063727
39, 1548696129.706372
40, 1548696130.7063725
41, 1548696131.7063441
42, 1548696132.7063737
43, 1548696133.7063687
44, 1548696134.706486
45, 1548696135.7063704
46, 1548696136.7063763
47, 1548696137.7063725
48, 1548696138.7063763
49, 1548696139.7063684
50, 1548696140.7063715
51, 1548696141.7063699
52, 1548696142.7063735
53, 1548696143.7063713
54, 1548696144.7063692
55, 1548696145.706372
56, 1548696146.7064319
57, 1548696147.7063472
58, 1548696148.7063632
59, 1548696149.7063715
