136,2978,-11,-14,-12,-18,0,0,61901
136,2978,-11,-14,-12,-18,0,0,0
136,2790,-14,-14,-12,-18,0,0,3
137,2757,-16,-16,-13,-16,0,0,6
137,2759,-13,-15,-14,-15,0,0,7
136,2736,-14,-14,-16,-15,0,0,7
136,2709,-16,-14,-17,-14,0,0,6
137,2699,-15,-14,-20,-15,0,0,7
136,2659,-14,-14,-19,-16,0,0,6
137,2638,-15,-15,-17,-17,0,0,7
137,2584,-17,-15,-19,-18,0,0,7
134,2586,-17,-15,-18,-20,0,0,6
134,2540,-16,-14,-18,-17,0,0,7
135,2538,-16,-14,-15,-16,0,0,6
135,2510,-16,-14,-14,-16,0,0,7
136,2489,-16,-15,-14,-15,0,0,7
136,2428,-16,-14,-14,-16,0,0,5
138,2433,-15,-14,-13,-16,0,0,6
138,2408,-16,-15,-12,-16,0,0,7
136,2387,-15,-14,-14,-15,0,0,6
137,2364,-15,-14,-15,-14,0,0,7
137,2341,-16,-13,-18,-13,0,0,7
136,2309,-15,-13,-18,-13,0,0,6
136,2268,-15,-13,-21,-13,0,0,7
136,2243,-16,-14,-22,-14,0,0,6
137,2236,-14,-14,-21,-15,0,0,7
138,2209,-14,-15,-20,-15,0,0,7
136,2183,-12,-15,-20,-16,0,0,6
136,2158,-15,-15,-17,-15,0,0,7
138,2153,-14,-14,-15,-16,0,0,6
137,2107,-13,-16,-16,-17,0,0,7
138,2088,-12,-14,-13,-18,0,0,7
137,2078,-11,-15,-12,-17,0,0,6
136,1998,-11,-15,-11,-16,0,0,7
137,1944,-12,-15,-10,-17,0,0,6
137,1977,-13,-14,-10,-19,0,0,7
137,1948,-14,-15,-11,-18,0,0,6
137,1914,-14,-15,-12,-18,0,0,7
137,1905,-14,-15,-14,-19,0,0,7
137,1871,-14,-15,-16,-17,0,0,6
138,1846,-13,-15,-16,-17,0,0,7
137,1839,-13,-15,-17,-16,0,0,6
137,1784,-14,-15,-17,-16,0,0,7
138,1737,-14,-13,-18,-16,0,0,7
